x,y,z,ax,ay,az,aw,image,label
1131.22,1183.27,0.1069651,0.0,0.0,0.0436201197059201,0.9990481896069084,'data/collections/new_sim/session1_0.jpg',0
1131.232,1183.271,0.1069638,0.0,0.0,0.04362038125612302,0.9990481781871535,'data/collections/new_sim/session1_1.jpg',0
1131.355,1183.282,0.1069435,0.0,0.0,0.04367718988932263,0.9990456961938088,'data/collections/new_sim/session1_2.jpg',0
1131.533,1183.298,0.106887,0.0,0.0,0.04371144413658986,0.9990441980470602,'data/collections/new_sim/session1_3.jpg',0
1131.693,1183.312,0.1070238,0.0,0.0,0.043753614540441806,0.9990423520625371,'data/collections/new_sim/session1_4.jpg',0
1131.905,1183.331,0.1073909,0.0,0.0,0.04381075413629791,0.9990398479650393,'data/collections/new_sim/session1_5.jpg',0
1131.99,1183.339,0.1075328,0.0,0.0,0.04383416267211169,0.9990388211590353,'data/collections/new_sim/session1_6.jpg',0
1132.446,1183.379,0.1080067,0.0,0.0,0.04399107334534786,0.9990319241475341,'data/collections/new_sim/session1_7.jpg',0
1132.982,1183.427,0.108554,0.0,0.0,0.044238041117376704,0.9990210186568135,'data/collections/new_sim/session1_8.jpg',2
1133.363,1183.462,0.1092275,0.0,0.0,0.04444476382799077,0.999011843257263,'data/collections/new_sim/session1_9.jpg',2
1133.645,1183.488,0.1097912,0.0,0.0,0.04459188870105203,0.9990052870040643,'data/collections/new_sim/session1_10.jpg',2
1133.831,1183.505,0.1101685,0.0,0.0,0.04468494407389644,0.999001129014934,'data/collections/new_sim/session1_11.jpg',2
1134.153,1183.534,0.1108188,0.0,0.0,0.044838457565674505,0.9989942505956334,'data/collections/new_sim/session1_12.jpg',2
1134.559,1183.571,0.1116327,0.0,0.0,0.04502562071666649,0.9989858324716516,'data/collections/new_sim/session1_13.jpg',2
1135.001,1183.612,0.1125159,0.0,0.0,0.045218230862927394,0.9989771326700262,'data/collections/new_sim/session1_14.jpg',2
1135.262,1183.636,0.113037,0.0,0.0,0.045325179593267276,0.9989722859493341,'data/collections/new_sim/session1_15.jpg',2
1135.477,1183.656,0.113466,0.0,0.0,0.04540925271699823,0.9989684678545584,'data/collections/new_sim/session1_16.jpg',2
1136.312,1183.733,0.1151367,0.0,0.0,0.045705885998164525,0.9989549399172731,'data/collections/new_sim/session1_17.jpg',2
1136.716,1183.771,0.1159453,0.0,0.0,0.04582613522575771,0.9989494308173315,'data/collections/new_sim/session1_18.jpg',2
1137.033,1183.8,0.1165794,0.0,0.0,0.0459134580308345,0.9989454211175157,'data/collections/new_sim/session1_19.jpg',2
1137.306,1183.826,0.1171251,0.0,0.0,0.045982500072236844,0.9989422454211788,'data/collections/new_sim/session1_20.jpg',2
1137.613,1183.854,0.1177383,0.0,0.0,0.04605306743680684,0.9989389946236261,'data/collections/new_sim/session1_21.jpg',2
1137.863,1183.877,0.1181862,0.0,0.0,0.04610427330893524,0.9989366326162311,'data/collections/new_sim/session1_22.jpg',2
1138.276,1183.916,0.1184874,0.0,0.0,0.04618455138925689,0.9989329242811917,'data/collections/new_sim/session1_23.jpg',2
1138.682,1183.954,0.1187983,0.0,0.0,0.046254446862301804,0.998929690291295,'data/collections/new_sim/session1_24.jpg',2
1138.921,1183.976,0.1190187,0.0,0.0,0.04629063236934227,0.9989280141005389,'data/collections/new_sim/session1_25.jpg',2
1139.274,1184.009,0.1193513,0.0,0.0,0.04633791490612132,0.9989258218917725,'data/collections/new_sim/session1_26.jpg',2
1139.505,1184.031,0.119568,0.0,0.0,0.04636518251656981,0.9989245566358879,'data/collections/new_sim/session1_27.jpg',2
1139.885,1184.066,0.1199215,0.0,0.0,0.046402431341631405,0.9989228270319911,'data/collections/new_sim/session1_28.jpg',2
1140.283,1184.103,0.1201464,0.0,0.0,0.046434815886697324,0.9989213221638471,'data/collections/new_sim/session1_29.jpg',2
1140.777,1184.149,0.1203988,0.0,0.0,0.046463547867519474,0.9989199861448177,'data/collections/new_sim/session1_30.jpg',2
1141.091,1184.179,0.1206539,0.0,0.0,0.04647186409508768,0.9989195992909178,'data/collections/new_sim/session1_31.jpg',2
1141.162,1184.185,0.1220092,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_32.jpg',0
1141.162,1184.185,0.1220093,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_33.jpg',0
1141.162,1184.185,0.1220092,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_34.jpg',0
1141.162,1184.185,0.1220093,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_35.jpg',0
1141.162,1184.185,0.1220092,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_36.jpg',0
1141.162,1184.185,0.1220093,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_37.jpg',2
1141.162,1184.185,0.1220092,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_38.jpg',2
1141.175,1184.187,0.1219847,0.0,0.0,0.04646867359306809,0.9989197477147506,'data/collections/new_sim/session1_39.jpg',2
1146.264,1184.654,0.1190916,0.0,0.0,0.045427542327429744,0.9989676363116523,'data/collections/new_sim/session1_40.jpg',0
1147.074,1184.727,0.1190831,0.0,0.0,0.04502780888334914,0.9989857338456664,'data/collections/new_sim/session1_41.jpg',0
1514.351,1162.456,0.02916738,-0.0,0.0,0.04859351109208172,-0.9988186375312306,'data/collections/new_sim/session1_42.jpg',0
1515.63,1162.333,0.02994419,-0.0,0.0,0.04799120341203789,-0.9988477583671419,'data/collections/new_sim/session1_43.jpg',0
1518.785,1162.037,0.03254333,-0.0,0.0,0.0465564035085816,-0.99891566275254,'data/collections/new_sim/session1_44.jpg',0
1525.106,1161.469,0.04538954,-0.0,0.0,0.04409366015150729,-0.9990274015933914,'data/collections/new_sim/session1_45.jpg',0
1527.227,1161.284,0.04978953,-0.0,0.0,0.043449379096283325,-0.9990556298105464,'data/collections/new_sim/session1_46.jpg',0
1529.168,1161.117,0.05483843,-0.0,0.0,0.04296027138425385,-0.9990767813749808,'data/collections/new_sim/session1_47.jpg',0
1530.498,1161.003,0.05972628,-0.0,0.0,0.04268301858250813,-0.9990886646963247,'data/collections/new_sim/session1_48.jpg',0
1531.628,1160.907,0.06411435,-0.0,0.0,0.04247725651548822,-0.9990974340267907,'data/collections/new_sim/session1_49.jpg',0
1533.632,1160.737,0.07366034,-0.0,0.0,0.042169481927936875,-0.9991104717667258,'data/collections/new_sim/session1_50.jpg',0
